# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.800000e-01,1.450000e-01,5.630852e-01,6.053842e-01,3.039977e-01,1.450000e-01,6.335265e-02,2.500000e-02,6.335265e-02,2.500000e-02,1.740008e-02,2.440744e+05,7.649415e+05,6.873038e+05,8.387154e+05,1.017563e+06,6.542419e+05,1.553794e+05,1.356285e+05,2.140399e+04,-1.653092e+03,1.764094e-04,2.015159e-04,8.969533e-05,1.402424e-02,1.892376e-02,2.237020e-01,8.532024e-01,1.000000e+00
8.800000e-01,1.512222e-01,5.712852e-01,6.143840e-01,2.741308e-01,1.512222e-01,6.483122e-02,2.500000e-02,6.483122e-02,2.500000e-02,1.814675e-02,2.440744e+05,8.004670e+05,7.198331e+05,8.742409e+05,1.050092e+06,6.340083e+05,1.667060e+05,1.494033e+05,2.159395e+04,-4.291241e+03,1.860083e-04,2.093579e-04,8.117472e-05,1.343905e-02,1.886423e-02,2.502854e-01,8.801531e-01,1.000000e+00
8.800000e-01,1.574444e-01,5.784627e-01,6.221311e-01,2.466364e-01,1.574444e-01,6.636873e-02,2.507873e-02,6.636873e-02,2.507873e-02,1.889343e-02,2.440744e+05,8.354904e+05,7.515747e+05,9.092643e+05,1.081834e+06,6.155084e+05,1.786456e+05,1.636847e+05,2.178560e+04,-6.824737e+03,1.954742e-04,2.170465e-04,7.349237e-05,1.290907e-02,1.877001e-02,2.790816e-01,9.062817e-01,1.000000e+00
8.800000e-01,1.636667e-01,5.813442e-01,6.216460e-01,2.424237e-01,1.636667e-01,6.852002e-02,2.592488e-02,6.852002e-02,2.592488e-02,1.964010e-02,2.440744e+05,8.656467e+05,7.768424e+05,9.394206e+05,1.107101e+06,6.197921e+05,1.911441e+05,1.772450e+05,2.204207e+04,-8.143019e+03,2.036322e-04,2.233786e-04,7.434989e-05,1.243875e-02,1.835002e-02,2.759924e-01,9.292690e-01,1.000000e+00
8.800000e-01,1.698889e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.800000e-01,1.761111e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.890000e-01,1.450000e-01,5.630852e-01,6.053842e-01,3.561977e-01,1.450000e-01,6.335265e-02,2.500000e-02,6.335265e-02,2.500000e-02,1.609509e-02,2.440744e+05,7.649415e+05,6.873038e+05,8.387154e+05,1.017563e+06,7.095302e+05,1.581438e+05,1.356285e+05,2.140399e+04,1.111321e+03,1.764094e-04,2.015159e-04,1.055226e-04,1.402424e-02,1.892376e-02,2.025458e-01,8.532024e-01,1.000000e+00
8.890000e-01,1.512222e-01,5.712852e-01,6.143840e-01,3.285708e-01,1.512222e-01,6.483122e-02,2.500000e-02,6.483122e-02,2.500000e-02,1.678576e-02,2.440744e+05,8.004670e+05,7.198331e+05,8.742409e+05,1.050092e+06,6.918619e+05,1.695987e+05,1.494033e+05,2.159395e+04,-1.398564e+03,1.860083e-04,2.093579e-04,9.758909e-05,1.343905e-02,1.886423e-02,2.221154e-01,8.801531e-01,1.000000e+00
8.890000e-01,1.574444e-01,5.788679e-01,6.229549e-01,3.009439e-01,1.574444e-01,6.630493e-02,2.500000e-02,6.630493e-02,2.500000e-02,1.747643e-02,2.440744e+05,8.359934e+05,7.522177e+05,9.097674e+05,1.082477e+06,6.737541e+05,1.816770e+05,1.638224e+05,2.177780e+04,-3.923180e+03,1.956095e-04,2.171815e-04,8.962506e-05,1.290734e-02,1.880482e-02,2.448960e-01,9.065663e-01,1.000000e+00
8.890000e-01,1.636667e-01,5.833488e-01,6.258111e-01,2.880326e-01,1.636667e-01,6.819194e-02,2.551672e-02,6.819194e-02,2.551672e-02,1.816710e-02,2.440744e+05,8.682299e+05,7.801948e+05,9.420038e+05,1.110454e+06,6.702883e+05,1.943644e+05,1.779693e+05,2.200399e+04,-5.608910e+03,2.043273e-04,2.240874e-04,8.738558e-05,1.243113e-02,1.852109e-02,2.522802e-01,9.306878e-01,1.000000e+00
8.890000e-01,1.698889e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.890000e-01,1.761111e-01,5.887746e-01,6.251114e-01,2.799850e-01,1.761111e-01,7.242138e-02,2.715001e-02,7.242138e-02,2.715001e-02,1.954845e-02,2.440744e+05,9.290546e+05,8.304713e+05,1.002829e+06,1.160730e+06,6.805511e+05,2.213736e+05,2.070478e+05,2.246650e+04,-8.140669e+03,2.207843e-04,2.366952e-04,8.959396e-05,1.159299e-02,1.775082e-02,2.461957e-01,9.760575e-01,1.000000e+00
8.980000e-01,1.450000e-01,5.630852e-01,6.053842e-01,4.083977e-01,1.450000e-01,6.335265e-02,2.500000e-02,6.335265e-02,2.500000e-02,1.479010e-02,2.440744e+05,7.649415e+05,6.873038e+05,8.387154e+05,1.017563e+06,7.662519e+05,1.609799e+05,1.356285e+05,2.140399e+04,3.947408e+03,1.764094e-04,2.015159e-04,1.218610e-04,1.402424e-02,1.892376e-02,1.877114e-01,8.532024e-01,1.000000e+00
8.980000e-01,1.512222e-01,5.712852e-01,6.143840e-01,3.830108e-01,1.512222e-01,6.483122e-02,2.500000e-02,6.483122e-02,2.500000e-02,1.542477e-02,2.440744e+05,8.004670e+05,7.198331e+05,8.742409e+05,1.050092e+06,7.509823e+05,1.725547e+05,1.494033e+05,2.159395e+04,1.557459e+03,1.860083e-04,2.093579e-04,1.145097e-04,1.343905e-02,1.886423e-02,2.028136e-01,8.801531e-01,1.000000e+00
8.980000e-01,1.574444e-01,5.788679e-01,6.229549e-01,3.576239e-01,1.574444e-01,6.630493e-02,2.500000e-02,6.630493e-02,2.500000e-02,1.605944e-02,2.440744e+05,8.359934e+05,7.522177e+05,9.097674e+05,1.082477e+06,7.353713e+05,1.847579e+05,1.638224e+05,2.177780e+04,-8.423220e+02,1.956095e-04,2.171815e-04,1.071302e-04,1.290734e-02,1.880482e-02,2.198102e-01,9.065663e-01,1.000000e+00
8.980000e-01,1.636667e-01,5.858057e-01,6.309210e-01,3.327668e-01,1.636667e-01,6.778981e-02,2.501985e-02,6.778981e-02,2.501985e-02,1.669411e-02,2.440744e+05,8.713977e+05,7.842944e+05,9.451716e+05,1.114553e+06,7.199595e+05,1.975967e+05,1.788592e+05,2.195685e+04,-3.219302e+03,2.051797e-04,2.249514e-04,9.994444e-05,1.242218e-02,1.873708e-02,2.385192e-01,9.324256e-01,1.000000e+00
8.980000e-01,1.698889e-01,5.885422e-01,6.306054e-01,3.289032e-01,1.698889e-01,6.990213e-02,2.582153e-02,6.990213e-02,2.582153e-02,1.732879e-02,2.440744e+05,9.018324e+05,8.097037e+05,9.756063e+05,1.139963e+06,7.264985e+05,2.110257e+05,1.931235e+05,2.219916e+04,-4.296968e+03,2.134140e-04,2.313217e-04,1.014490e-04,1.198851e-02,1.833420e-02,2.349766e-01,9.552007e-01,1.000000e+00
8.980000e-01,1.761111e-01,5.911842e-01,6.303346e-01,3.250609e-01,1.761111e-01,7.199703e-02,2.661487e-02,7.199703e-02,2.661487e-02,1.796346e-02,2.440744e+05,9.323868e+05,8.349277e+05,1.006161e+06,1.165187e+06,7.327253e+05,2.250085e+05,2.080253e+05,2.242339e+04,-5.440208e+03,2.216814e-04,2.376484e-04,1.028667e-04,1.158586e-02,1.795622e-02,2.317486e-01,9.777864e-01,1.000000e+00
9.070000e-01,1.450000e-01,5.630852e-01,6.053842e-01,4.605977e-01,1.450000e-01,6.335265e-02,2.500000e-02,6.335265e-02,2.500000e-02,1.348511e-02,2.440744e+05,7.649415e+05,6.873038e+05,8.387154e+05,1.017563e+06,8.250610e+05,1.639204e+05,1.356285e+05,2.140399e+04,6.887862e+03,1.764094e-04,2.015159e-04,1.388643e-04,1.402424e-02,1.892376e-02,1.774193e-01,8.532024e-01,1.000000e+00
9.070000e-01,1.512222e-01,5.712852e-01,6.143840e-01,4.374508e-01,1.512222e-01,6.483122e-02,2.500000e-02,6.483122e-02,2.500000e-02,1.406378e-02,2.440744e+05,8.004670e+05,7.198331e+05,8.742409e+05,1.050092e+06,8.121196e+05,1.756116e+05,1.494033e+05,2.159395e+04,4.614325e+03,1.860083e-04,2.093579e-04,1.320978e-04,1.343905e-02,1.886423e-02,1.895160e-01,8.801531e-01,1.000000e+00
