# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine Flow (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.80E-01,1.45E-01,5.53E-01,5.53E-01,4.00E-01,1.45E-01,6.48E-02,2.90E-02,6.48E-02,2.90E-02,1.74E-02,2.44E+05,7.53E+05,6.27E+05,8.27E+05,9.57E+05,7.68E+05,1.58E+05,1.33E+05,1.77E+04,8.18E+03,1.73E-04,1.87E-04,1.33E-04,1.41E-02,1.84E-02,1.43E-01
8.80E-01,1.51E-01,5.53E-01,5.53E-01,4.00E-01,1.51E-01,6.77E-02,3.03E-02,6.77E-02,3.03E-02,1.82E-02,2.44E+05,7.79E+05,6.56E+05,8.52E+05,9.86E+05,7.84E+05,1.70E+05,1.44E+05,1.88E+04,7.77E+03,1.80E-04,1.94E-04,1.37E-04,1.35E-02,1.77E-02,1.37E-01
8.80E-01,1.58E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.80E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.80E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.80E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.90E-01,1.45E-01,5.72E-01,5.72E-01,4.00E-01,1.45E-01,6.21E-02,2.66E-02,6.21E-02,2.66E-02,1.60E-02,2.44E+05,7.75E+05,6.31E+05,8.49E+05,9.61E+05,7.60E+05,1.61E+05,1.38E+05,1.54E+04,6.87E+03,1.79E-04,1.87E-04,1.24E-04,1.40E-02,1.98E-02,1.69E-01
8.90E-01,1.51E-01,5.72E-01,5.72E-01,4.00E-01,1.51E-01,6.48E-02,2.77E-02,6.48E-02,2.77E-02,1.66E-02,2.44E+05,8.01E+05,6.59E+05,8.75E+05,9.89E+05,7.75E+05,1.72E+05,1.50E+05,1.63E+04,6.43E+03,1.86E-04,1.94E-04,1.29E-04,1.34E-02,1.91E-02,1.62E-01
8.90E-01,1.58E-01,5.72E-01,5.72E-01,4.00E-01,1.58E-01,6.75E-02,2.89E-02,6.75E-02,2.89E-02,1.73E-02,2.44E+05,8.28E+05,6.88E+05,9.01E+05,1.02E+06,7.90E+05,1.85E+05,1.62E+05,1.72E+04,5.92E+03,1.93E-04,2.01E-04,1.33E-04,1.29E-02,1.84E-02,1.56E-01
8.90E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.90E-01,1.70E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.90E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.00E-01,1.45E-01,5.92E-01,5.92E-01,4.00E-01,1.45E-01,5.92E-02,2.42E-02,5.92E-02,2.42E-02,1.45E-02,2.44E+05,7.98E+05,6.34E+05,8.72E+05,9.64E+05,7.56E+05,1.63E+05,1.44E+05,1.31E+04,5.91E+03,1.85E-04,1.86E-04,1.16E-04,1.39E-02,2.17E-02,2.02E-01
9.00E-01,1.51E-01,5.92E-01,5.92E-01,4.00E-01,1.51E-01,6.18E-02,2.52E-02,6.18E-02,2.52E-02,1.51E-02,2.44E+05,8.25E+05,6.62E+05,8.99E+05,9.92E+05,7.70E+05,1.75E+05,1.56E+05,1.38E+04,5.45E+03,1.93E-04,1.93E-04,1.21E-04,1.33E-02,2.08E-02,1.95E-01
9.00E-01,1.58E-01,5.92E-01,5.92E-01,4.00E-01,1.58E-01,6.43E-02,2.63E-02,6.43E-02,2.63E-02,1.58E-02,2.44E+05,8.52E+05,6.90E+05,9.26E+05,1.02E+06,7.84E+05,1.88E+05,1.68E+05,1.45E+04,4.93E+03,2.00E-04,2.00E-04,1.25E-04,1.29E-02,2.00E-02,1.88E-01
9.00E-01,1.64E-01,5.92E-01,5.92E-01,4.00E-01,1.64E-01,6.69E-02,2.73E-02,6.69E-02,2.73E-02,1.64E-02,2.44E+05,8.80E+05,7.18E+05,9.54E+05,1.05E+06,7.98E+05,2.01E+05,1.81E+05,1.53E+04,4.34E+03,2.07E-04,2.08E-04,1.29E-04,1.24E-02,1.93E-02,1.81E-01
9.00E-01,1.70E-01,5.92E-01,5.92E-01,4.00E-01,1.70E-01,6.94E-02,2.84E-02,6.94E-02,2.84E-02,1.70E-02,2.44E+05,9.07E+05,7.46E+05,9.81E+05,1.08E+06,8.11E+05,2.15E+05,1.95E+05,1.61E+04,3.69E+03,2.15E-04,2.15E-04,1.33E-04,1.20E-02,1.87E-02,1.75E-01
9.00E-01,1.76E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.10E-01,1.45E-01,5.96E-01,5.96E-01,4.48E-01,1.45E-01,5.85E-02,2.36E-02,5.85E-02,2.36E-02,1.31E-02,2.44E+05,8.03E+05,6.34E+05,8.77E+05,9.65E+05,8.08E+05,1.66E+05,1.46E+05,1.26E+04,8.22E+03,1.87E-04,1.86E-04,1.30E-04,1.39E-02,2.21E-02,2.00E-01
9.10E-01,1.51E-01,5.97E-01,5.97E-01,4.46E-01,1.51E-01,6.10E-02,2.46E-02,6.10E-02,2.46E-02,1.36E-02,2.44E+05,8.31E+05,6.62E+05,9.05E+05,9.93E+05,8.21E+05,1.79E+05,1.58E+05,1.32E+04,7.82E+03,1.94E-04,1.93E-04,1.33E-04,1.33E-02,2.13E-02,1.94E-01
9.10E-01,1.58E-01,5.98E-01,5.98E-01,4.44E-01,1.58E-01,6.34E-02,2.55E-02,6.34E-02,2.55E-02,1.42E-02,2.44E+05,8.60E+05,6.91E+05,9.33E+05,1.02E+06,8.34E+05,1.92E+05,1.70E+05,1.38E+04,7.34E+03,2.02E-04,2.00E-04,1.37E-04,1.28E-02,2.06E-02,1.89E-01
9.10E-01,1.64E-01,5.98E-01,5.98E-01,4.42E-01,1.64E-01,6.58E-02,2.64E-02,6.58E-02,2.64E-02,1.47E-02,2.44E+05,8.88E+05,7.19E+05,9.62E+05,1.05E+06,8.47E+05,2.05E+05,1.84E+05,1.44E+04,6.78E+03,2.10E-04,2.07E-04,1.41E-04,1.24E-02,1.99E-02,1.84E-01
