# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.800000e-01,1.450000e-01,5.839279e-01,5.839279e-01,3.068222e-01,1.450000e-01,6.033047e-02,2.510187e-02,6.033047e-02,2.510187e-02,1.740008e-02,2.440744e+05,7.888760e+05,6.325741e+05,8.626499e+05,9.628330e+05,6.570158e+05,1.570969e+05,1.418657e+05,1.400423e+04,1.227061e+03,1.828442e-04,1.861573e-04,9.080377e-05,1.391783e-02,2.091097e-02,2.204861e-01
8.800000e-01,1.512222e-01,5.844850e-01,5.844850e-01,3.049622e-01,1.512222e-01,6.283512e-02,2.610898e-02,6.283512e-02,2.610898e-02,1.814675e-02,2.440744e+05,8.162474e+05,6.607105e+05,8.900213e+05,9.909694e+05,6.662238e+05,1.686141e+05,1.536270e+05,1.469921e+04,2.878957e+02,1.902522e-04,1.933741e-04,9.332732e-05,1.337931e-02,2.015657e-02,2.143733e-01
8.800000e-01,1.574444e-01,5.850838e-01,5.850838e-01,3.029546e-01,1.574444e-01,6.532627e-02,2.710497e-02,6.532627e-02,2.710497e-02,1.889343e-02,2.440744e+05,8.437176e+05,6.888193e+05,9.174915e+05,1.019078e+06,6.750313e+05,1.806089e+05,1.659429e+05,1.541343e+04,-7.474519e+02,1.976874e-04,2.005825e-04,9.572745e-05,1.288241e-02,1.946445e-02,2.088784e-01
8.800000e-01,1.636667e-01,5.857186e-01,5.857186e-01,3.008168e-01,1.636667e-01,6.780408e-02,2.809001e-02,6.780408e-02,2.809001e-02,1.964010e-02,2.440744e+05,8.712853e+05,7.168987e+05,9.450592e+05,1.047158e+06,6.834501e+05,1.930945e+05,1.788276e+05,1.614606e+04,-1.879142e+03,2.051495e-04,2.077821e-04,9.800780e-05,1.242249e-02,1.882722e-02,2.039268e-01
8.800000e-01,1.698889e-01,5.863848e-01,5.863848e-01,2.985626e-01,1.698889e-01,7.026864e-02,2.906423e-02,7.026864e-02,2.906423e-02,2.038677e-02,2.440744e+05,8.989498e+05,7.449466e+05,9.727237e+05,1.075206e+06,6.914900e+05,2.060842e+05,1.922955e+05,1.689608e+04,-3.107350e+03,2.126382e-04,2.149725e-04,1.001712e-04,1.199558e-02,1.823864e-02,1.994567e-01
8.800000e-01,1.761111e-01,5.870788e-01,5.870788e-01,2.962027e-01,1.761111e-01,7.272003e-02,3.002769e-02,7.272003e-02,3.002769e-02,2.113344e-02,2.440744e+05,9.267107e+05,7.729618e+05,1.000485e+06,1.103221e+06,6.991587e+05,2.195914e+05,2.063614e+05,1.766231e+04,-4.432272e+03,2.201534e-04,2.221535e-04,1.022200e-04,1.159825e-02,1.769344e-02,1.954166e-01
8.900000e-01,1.450000e-01,5.847730e-01,5.847730e-01,3.619977e-01,1.450000e-01,6.020793e-02,2.500000e-02,6.020793e-02,2.500000e-02,1.595009e-02,2.440744e+05,7.898492e+05,6.326984e+05,8.636231e+05,9.629572e+05,7.155596e+05,1.601726e+05,1.421216e+05,1.390794e+04,4.143061e+03,1.831058e-04,1.861288e-04,1.073009e-04,1.391427e-02,2.098942e-02,2.004896e-01
8.900000e-01,1.512222e-01,5.883017e-01,5.883017e-01,3.510140e-01,1.512222e-01,6.225795e-02,2.563153e-02,6.225795e-02,2.563153e-02,1.663454e-02,2.440744e+05,8.208205e+05,6.611894e+05,8.945944e+05,9.914483e+05,7.160856e+05,1.719012e+05,1.548599e+05,1.422710e+04,2.814145e+03,1.914820e-04,1.932206e-04,1.063479e-04,1.336459e-02,2.050305e-02,2.032098e-01
8.900000e-01,1.574444e-01,5.889255e-01,5.889255e-01,3.490431e-01,1.574444e-01,6.472142e-02,2.660537e-02,6.472142e-02,2.660537e-02,1.731899e-02,2.440744e+05,8.484976e+05,6.892262e+05,9.222715e+05,1.019485e+06,7.261894e+05,1.841253e+05,1.672608e+05,1.489768e+04,1.966836e+03,1.989732e-04,2.004070e-04,1.091359e-04,1.286846e-02,1.980191e-02,1.978341e-01
8.900000e-01,1.636667e-01,5.895826e-01,5.895826e-01,3.469568e-01,1.636667e-01,6.717167e-02,2.756847e-02,6.717167e-02,2.756847e-02,1.800344e-02,2.440744e+05,8.762712e+05,7.172310e+05,9.500451e+05,1.047490e+06,7.359126e+05,1.968467e+05,1.802319e+05,1.558479e+04,1.030048e+03,2.064910e-04,2.075840e-04,1.118057e-04,1.240929e-02,1.915626e-02,1.929617e-01
