# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.800000e-01,1.450000e-01,5.839279e-01,5.839279e-01,3.068222e-01,1.450000e-01,6.033047e-02,2.510187e-02,6.033047e-02,2.510187e-02,1.740008e-02,2.440744e+05,7.888760e+05,6.325741e+05,8.626499e+05,9.628330e+05,6.570158e+05,1.570969e+05,1.418657e+05,1.400423e+04,1.227061e+03,1.828442e-04,1.861573e-04,9.080377e-05,1.391783e-02,2.091097e-02,2.204861e-01
8.800000e-01,1.512222e-01,5.844850e-01,5.844850e-01,3.049622e-01,1.512222e-01,6.283512e-02,2.610898e-02,6.283512e-02,2.610898e-02,1.814675e-02,2.440744e+05,8.162474e+05,6.607105e+05,8.900213e+05,9.909694e+05,6.662238e+05,1.686141e+05,1.536270e+05,1.469921e+04,2.878957e+02,1.902522e-04,1.933741e-04,9.332732e-05,1.337931e-02,2.015657e-02,2.143733e-01
8.800000e-01,1.574444e-01,5.850838e-01,5.850838e-01,3.029546e-01,1.574444e-01,6.532627e-02,2.710497e-02,6.532627e-02,2.710497e-02,1.889343e-02,2.440744e+05,8.437176e+05,6.888193e+05,9.174915e+05,1.019078e+06,6.750313e+05,1.806089e+05,1.659429e+05,1.541343e+04,-7.474519e+02,1.976874e-04,2.005825e-04,9.572745e-05,1.288241e-02,1.946445e-02,2.088784e-01
8.800000e-01,1.636667e-01,5.857186e-01,5.857186e-01,3.008168e-01,1.636667e-01,6.780408e-02,2.809001e-02,6.780408e-02,2.809001e-02,1.964010e-02,2.440744e+05,8.712853e+05,7.168987e+05,9.450592e+05,1.047158e+06,6.834501e+05,1.930945e+05,1.788276e+05,1.614606e+04,-1.879142e+03,2.051495e-04,2.077821e-04,9.800780e-05,1.242249e-02,1.882722e-02,2.039268e-01
8.800000e-01,1.698889e-01,5.863848e-01,5.863848e-01,2.985626e-01,1.698889e-01,7.026864e-02,2.906423e-02,7.026864e-02,2.906423e-02,2.038677e-02,2.440744e+05,8.989498e+05,7.449466e+05,9.727237e+05,1.075206e+06,6.914900e+05,2.060842e+05,1.922955e+05,1.689608e+04,-3.107350e+03,2.126382e-04,2.149725e-04,1.001712e-04,1.199558e-02,1.823864e-02,1.994567e-01
8.800000e-01,1.761111e-01,5.870788e-01,5.870788e-01,2.962027e-01,1.761111e-01,7.272003e-02,3.002769e-02,7.272003e-02,3.002769e-02,2.113344e-02,2.440744e+05,9.267107e+05,7.729618e+05,1.000485e+06,1.103221e+06,6.991587e+05,2.195914e+05,2.063614e+05,1.766231e+04,-4.432272e+03,2.201534e-04,2.221535e-04,1.022200e-04,1.159825e-02,1.769344e-02,1.954166e-01
8.890000e-01,1.450000e-01,5.847730e-01,5.847730e-01,3.561977e-01,1.450000e-01,6.020793e-02,2.500000e-02,6.020793e-02,2.500000e-02,1.609509e-02,2.440744e+05,7.898492e+05,6.326984e+05,8.636231e+05,9.629572e+05,7.093406e+05,1.598617e+05,1.421216e+05,1.390794e+04,3.832111e+03,1.831058e-04,1.861288e-04,1.055135e-04,1.391427e-02,2.098942e-02,2.024069e-01
8.890000e-01,1.512222e-01,5.879038e-01,5.879038e-01,3.463782e-01,1.512222e-01,6.231812e-02,2.568110e-02,6.231812e-02,2.568110e-02,1.678576e-02,2.440744e+05,8.203436e+05,6.611407e+05,8.941175e+05,9.913995e+05,7.110520e+05,1.715708e+05,1.547312e+05,1.427613e+04,2.563559e+03,1.913537e-04,1.932372e-04,1.050391e-04,1.336607e-02,2.046640e-02,2.040924e-01
8.890000e-01,1.574444e-01,5.885257e-01,5.885257e-01,3.444010e-01,1.574444e-01,6.478436e-02,2.665715e-02,6.478436e-02,2.665715e-02,1.747643e-02,2.440744e+05,8.480000e+05,6.891853e+05,9.217739e+05,1.019444e+06,7.210253e+05,1.837721e+05,1.671234e+05,1.495113e+04,1.697527e+03,1.988394e-04,2.004259e-04,1.077880e-04,1.286986e-02,1.976628e-02,1.987098e-01
8.890000e-01,1.636667e-01,5.891811e-01,5.891811e-01,3.423074e-01,1.636667e-01,6.723737e-02,2.762243e-02,6.723737e-02,2.762243e-02,1.816710e-02,2.440744e+05,8.757530e+05,7.171980e+05,9.495269e+05,1.047457e+06,7.306173e+05,1.964699e+05,1.800857e+05,1.564286e+04,7.413503e+02,2.063516e-04,2.076052e-04,1.104185e-04,1.241061e-02,1.912156e-02,1.938335e-01
