# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.800000e-01,1.450000e-01,5.527861e-01,5.527861e-01,4.000000e-01,1.450000e-01,6.484603e-02,2.900008e-02,2.440744e+05,7.531606e+05,6.270341e+05,8.269345e+05,9.572929e+05,7.679861e+05,1.584304e+05,1.326000e+05,1.765517e+04,8.175240e+03,1.732421e-04,1.867937e-04,1.325181e-04,1.409002e-02,1.837273e-02,1.425684e-01
8.800000e-01,1.512778e-01,5.527861e-01,5.527861e-01,4.000000e-01,1.512778e-01,6.765354e-02,3.025564e-02,2.440744e+05,7.786630e+05,6.557958e+05,8.524369e+05,9.860547e+05,7.842124e+05,1.702219e+05,1.436887e+05,1.876261e+04,7.770653e+03,1.801449e-04,1.942182e-04,1.374167e-04,1.354128e-02,1.766104e-02,1.372206e-01
8.800000e-01,1.575556e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.800000e-01,1.638333e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.800000e-01,1.701111e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.800000e-01,1.763889e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.900000e-01,1.450000e-01,5.718252e-01,5.718252e-01,4.000000e-01,1.450000e-01,6.208536e-02,2.658342e-02,2.440744e+05,7.749622e+05,6.306585e+05,8.487361e+05,9.609174e+05,7.599625e+05,1.605020e+05,1.382262e+05,1.540111e+04,6.874687e+03,1.791035e-04,1.865029e-04,1.244125e-04,1.397529e-02,1.984656e-02,1.685282e-01
8.900000e-01,1.512778e-01,5.718252e-01,5.718252e-01,4.000000e-01,1.512778e-01,6.477335e-02,2.773435e-02,2.440744e+05,8.013450e+05,6.591734e+05,8.751189e+05,9.894323e+05,7.750503e+05,1.724064e+05,1.496785e+05,1.630044e+04,6.427541e+03,1.862448e-04,1.938599e-04,1.289342e-04,1.343172e-02,1.907737e-02,1.622289e-01
8.900000e-01,1.575556e-01,5.718252e-01,5.718252e-01,4.000000e-01,1.575556e-01,6.746133e-02,2.888528e-02,2.440744e+05,8.277234e+05,6.876768e+05,9.014973e+05,1.017936e+06,7.900689e+05,1.848128e+05,1.616543e+05,1.724329e+04,5.915250e+03,1.933856e-04,2.012160e-04,1.334455e-04,1.293060e-02,1.836807e-02,1.563923e-01
8.900000e-01,1.638333e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
