DateTime,stage 1 feed conductivity (us/cm),stage 1 feed pressure (psi),stage 1 permeate flowrate (gpm),stage 1 permeate conductivity (us/cm),stage 1 concentrate flowrate (gpm),stage 1 concentrate pressure (psi),,stage2_ro_inlet_P (psi),stage2_ro_outlet_P (psi),stage2_feed_conductivity (us/cm),stage2_perm_conductivity (us/cm),stage2_feed_flow (gpm),stage2_perm_flow (gpm),stage3_ro_inlet_P (psi),stage3_ro_outlet_P (psi),stage3_feed_conductivity (us/cm),stage3_perm_conductivity (us/cm),stage3_feed_flow (gpm),stage3_perm_flow (gpm)
2/7/2019,1106.280029,25.14999962,763.1300049,0,615.1599731,24.76999855,,,,,,,,,,,,,
2/27/2019,1314.809937,67.94999695,1437.959961,0,955.1999817,66.26999664,,,,,,,,,,,,,
2/28/2019,1263.189941,105.409996,1760.179932,0,1125.509979,102.7699966,,,,,,,,,,,,,
3/7/2019,1026.199951,70,1066.599976,24,878.3799744,62.44999695,,,,,,,,,,,,,
3/9/2019,1057,97.18000031,1600.140015,26,1225.159973,84.15000153,,,,,,,,,,,,,
3/11/2019,2000,70.86000061,1108.459961,32,1023.47998,62.15999985,,,,,,,,,,,,,
3/12/2019,2000,96.76999664,1395.169922,15,1148.450012,84.18000031,,,,,,,,,,,,,
3/13/2019,2000,103.0199966,1613.890015,13,1211.400024,89.55999756,,,,,,,,,,,,,
3/14/2019,2000,104.8799973,1550.309937,20,1184.109985,92.33999634,,,,,,,,,,,,,
3/15/2019,1000,106.9799957,1597.719971,20,1206.130005,93.86999512,,,,,,,,,,,,,
3/18/2019,972.0299683,98.11999512,1448.97998,200,1168.939941,85.75999451,,,,,,,,,,,,,
3/22/2019,809.1199951,100.8899994,1498.919922,200,1194.799988,87.93999481,,,,,,,,,,,,,
3/26/2019,660.3999634,101.3899994,1538.169922,175,1203.639954,87.88999939,,,,,,,,,,,,,
4/2/2019,618.7299805,102.5899963,1666.130005,17,1256.960022,88.44999695,,,,,,,,,,,,,
4/3/2019,578.289978,61.71999741,329,46,1011.220001,52.41999817,,,,,,,,,,,,,
4/6/2019,501.8199768,69.06999969,1041.660034,18,948.4999695,60.77999878,,,,,,,,,,,,,
4/8/2019,464.6499939,68.12999725,1019.279968,18,933.8299561,60.1099968,,,,,,,,,,,,,
4/9/2019,461.2099915,65.52999878,957.8899536,15,813.2599792,58.38999939,,,,,,,,,,,,,
4/10/2019,926.0599976,65.36999512,959.9699707,27,831.6899719,58.73999786,,,,,,,,,,,,,
4/11/2019,939.8999634,66.15000153,955.4599609,31,809.1900024,59.77000046,,,,,,,,,,,,,
4/22/2019,888.5899658,106.2599945,1671.859985,24,1100.879944,93.77999878,,,,,,,,,,,,,
4/23/2019,786.9299927,108.4399948,1692.01001,19,1093.330017,95.72000122,,,,,,,,,,,,,
4/24/2019,618.2999878,108.5599976,1683.72998,18,1091.829987,95.65999603,,,,,,,,,,,,,
4/25/2019,804.4899902,110.5299988,1667.119995,14,1094.459961,97.56999969,,,,,,,,,,,,,
4/26/2019,908.4199829,116.4499969,1662.390015,17,1107.319946,103.2200012,,,,,,,,,,,,,
4/27/2019,954.0199585,108.8099976,1701.369995,20,1091.200012,96.87999725,,,,,,,,,,,,,
4/28/2019,880.539978,109.4199982,1698.219971,18,1094.23996,96.93000031,,,,,,,,,,,,,
4/29/2019,889.7699585,112.6800003,1658.919922,19,1096.649994,99.97999573,,,,,,,,,,,,,
4/30/2019,903.5499878,112.8600006,1659.099976,17,1101.130005,100,,,,,,,,,,,,,
5/1/2019,910.8299561,114.8899994,1692.809937,17,1127.079956,102.0999985,,,,,,,,,,,,,
5/2/2019,711.2999878,117.9599991,1683.849976,13,1099.179962,105,,,,,,,,,,,,,
5/4/2019,945.7299805,114.9399948,1685.529907,17,1090.48999,102.4499969,,,,,,,,,,,,,
5/5/2019,946.9699707,116.6399994,1679.52002,16,1098.519989,103.8699951,,,,,,,,,,,,,
5/7/2019,936.8499756,115.5099945,1694.619995,19,1091.410004,103.0299988,,,,,,,,,,,,,
5/8/2019,1004.47998,115.659996,1660.880005,18,1088.529968,103.2200012,,,,,,,,,,,,,
5/9/2019,975.6199951,114.5199966,1682.159912,20,1102.949982,102.3499985,,,,,,,,,,,,,
5/10/2019,961.5499878,117.9799957,1659.049927,20,1100.319946,105.3299942,,,,,,,,,,,,,
5/12/2019,752.6499634,112.4399948,1677.309937,21,1095.249969,100,,,,,,,,,,,,,
5/13/2019,781.5199585,110.659996,1662.98999,23,1100.619965,98.18000031,,,,,,,,,,,,,
5/14/2019,919.7699585,119.1199951,1667.409912,22,1096.869965,106.6199951,,,,,,,,,,,,,
5/15/2019,866.6799927,113.4499969,1680.959961,23,1101.949951,101.0699997,,,,,,,,,,,,,
5/16/2019,935.8899536,116.9699936,1678.579956,23,1097.829956,104.659996,,,,,,,,,,,,,
5/17/2019,961.6900024,118.7999954,1702.899902,20,1086.719971,106.7200012,,,,,,,,,,,,,
5/20/2019,878.789978,117.8899994,1679.76001,20,1095.759949,105.4399948,,,,,,,,,,,,,
