# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.800000e-01,1.450000e-01,5.417842e-01,5.646033e-01,3.985124e-01,1.450000e-01,6.644131e-02,2.892836e-02,6.644131e-02,2.892836e-02,1.740008e-02,2.440744e+05,7.406068e+05,6.565154e+05,8.143807e+05,9.867743e+05,7.660453e+05,1.551574e+05,1.294037e+05,2.179303e+04,3.960650e+03,1.698670e-04,1.949768e-04,1.317693e-04,1.417007e-02,1.743575e-02,1.435834e-01,8.383987e-01,1.000000e+00
8.800000e-01,1.512222e-01,5.457763e-01,5.643370e-01,3.935968e-01,1.512222e-01,6.868873e-02,2.992517e-02,6.868873e-02,2.992517e-02,1.814676e-02,2.440744e+05,7.701142e+05,6.808958e+05,8.438881e+05,1.011155e+06,7.751067e+05,1.670007e+05,1.414165e+05,2.206011e+04,3.524096e+03,1.778454e-04,2.010515e-04,1.340326e-04,1.359360e-02,1.705682e-02,1.413680e-01,8.622872e-01,1.000000e+00
8.800000e-01,1.574444e-01,5.495914e-01,5.641391e-01,3.887383e-01,1.574444e-01,7.091435e-02,3.090883e-02,7.091435e-02,3.090883e-02,1.889343e-02,2.440744e+05,7.997686e+05,7.050903e+05,8.735425e+05,1.035349e+06,7.837120e+05,1.793776e+05,1.540320e+05,2.230796e+04,3.037632e+03,1.858646e-04,2.070843e-04,1.361657e-04,1.306431e-02,1.670193e-02,1.393650e-01,8.859109e-01,1.000000e+00
8.800000e-01,1.636667e-01,5.532427e-01,5.639851e-01,3.839600e-01,1.636667e-01,7.311929e-02,3.188114e-02,7.311929e-02,3.188114e-02,1.964010e-02,2.440744e+05,8.295628e+05,7.290845e+05,9.033367e+05,1.059343e+06,7.919173e+05,1.923005e+05,1.672622e+05,2.253434e+04,2.503974e+03,1.939227e-04,2.130714e-04,1.381876e-04,1.257669e-02,1.636875e-02,1.375368e-01,9.092920e-01,1.000000e+00
8.800000e-01,1.698889e-01,5.567415e-01,5.638530e-01,3.792855e-01,1.698889e-01,7.530472e-02,3.284397e-02,7.530472e-02,3.284397e-02,2.038677e-02,2.440744e+05,8.594892e+05,7.528635e+05,9.332631e+05,1.083122e+06,7.997811e+05,2.057817e+05,1.811188e+05,2.273670e+04,1.926201e+03,2.020175e-04,2.190086e-04,1.401178e-04,1.212604e-02,1.605521e-02,1.358491e-01,9.324497e-01,1.000000e+00
8.800000e-01,1.761111e-01,5.600965e-01,5.637218e-01,3.747395e-01,1.761111e-01,7.747191e-02,3.379935e-02,7.747191e-02,3.379935e-02,2.113344e-02,2.440744e+05,8.895389e+05,7.764106e+05,9.633128e+05,1.106669e+06,8.073660e+05,2.198336e+05,1.956136e+05,2.291210e+04,1.307838e+03,2.101464e-04,2.248914e-04,1.419775e-04,1.170836e-02,1.575942e-02,1.342701e-01,9.554005e-01,1.000000e+00
8.890000e-01,1.450000e-01,5.444025e-01,5.695626e-01,4.339792e-01,1.450000e-01,6.606165e-02,2.843544e-02,6.606165e-02,2.843544e-02,1.609509e-02,2.440744e+05,7.435917e+05,6.603306e+05,8.173656e+05,9.905895e+05,8.056506e+05,1.570726e+05,1.301607e+05,2.174655e+04,5.165298e+03,1.706695e-04,1.957968e-04,1.423010e-04,1.415010e-02,1.759870e-02,1.421054e-01,8.402248e-01,1.000000e+00
8.890000e-01,1.512222e-01,5.483720e-01,5.693643e-01,4.292672e-01,1.512222e-01,6.829620e-02,2.941082e-02,6.829620e-02,2.941082e-02,1.678576e-02,2.440744e+05,7.731947e+05,6.849007e+05,8.469686e+05,1.015160e+06,8.158825e+05,1.690487e+05,1.422187e+05,2.201473e+04,4.815354e+03,1.786739e-04,2.019183e-04,1.449001e-04,1.357549e-02,1.721579e-02,1.397438e-01,8.641125e-01,1.000000e+00
8.890000e-01,1.574444e-01,5.521653e-01,5.692346e-01,4.246063e-01,1.574444e-01,7.050911e-02,3.037293e-02,7.050911e-02,3.037293e-02,1.747643e-02,2.440744e+05,8.029437e+05,7.092899e+05,8.767176e+05,1.039549e+06,8.256528e+05,1.815619e+05,1.548798e+05,2.226431e+04,4.417851e+03,1.867188e-04,2.079994e-04,1.473671e-04,1.304787e-02,1.685720e-02,1.375973e-01,8.877348e-01,1.000000e+00
8.890000e-01,1.636667e-01,5.557958e-01,5.691495e-01,4.200181e-01,1.636667e-01,7.270144e-02,3.132349e-02,7.270144e-02,3.132349e-02,1.816710e-02,2.440744e+05,8.328318e+05,7.334845e+05,9.066057e+05,1.063743e+06,8.350158e+05,1.946247e+05,1.681561e+05,2.249317e+04,3.975393e+03,1.948023e-04,2.140361e-04,1.497203e-04,1.256175e-02,1.652056e-02,1.356290e-01,9.111140e-01,1.000000e+00
8.890000e-01,1.698889e-01,5.592749e-01,5.690874e-01,4.155241e-01,1.698889e-01,7.487432e-02,3.226434e-02,7.487432e-02,3.226434e-02,1.885778e-02,2.440744e+05,8.628514e+05,7.574698e+05,9.366253e+05,1.087729e+06,8.440280e+05,2.082493e+05,1.820595e+05,2.269888e+04,3.490930e+03,2.029224e-04,2.200244e-04,1.519789e-04,1.211245e-02,1.620378e-02,1.338061e-01,9.342695e-01,1.000000e+00
8.890000e-01,1.761111e-01,5.626115e-01,5.690276e-01,4.111469e-01,1.761111e-01,7.702899e-02,3.319741e-02,7.702899e-02,3.319741e-02,1.954845e-02,2.440744e+05,8.929944e+05,7.812299e+05,9.667683e+05,1.111489e+06,8.527493e+05,2.224481e+05,1.966016e+05,2.287863e+04,2.967824e+03,2.110767e-04,2.259602e-04,1.541632e-04,1.169598e-02,1.590497e-02,1.320983e-01,9.572182e-01,1.000000e+00
8.980000e-01,1.450000e-01,5.471130e-01,5.747138e-01,4.704220e-01,1.450000e-01,6.566863e-02,2.792800e-02,6.566863e-02,2.792800e-02,1.479010e-02,2.440744e+05,7.466834e+05,6.642707e+05,8.204573e+05,9.945296e+05,8.468451e+05,1.590185e+05,1.309468e+05,2.169801e+04,6.373672e+03,1.715007e-04,1.966409e-04,1.531949e-04,1.413003e-02,1.777287e-02,1.419713e-01,8.421133e-01,1.000000e+00
8.980000e-01,1.512222e-01,5.510571e-01,5.745825e-01,4.659344e-01,1.512222e-01,6.789016e-02,2.888170e-02,6.789016e-02,2.888170e-02,1.542477e-02,2.440744e+05,7.763832e+05,6.890330e+05,8.501571e+05,1.019292e+06,8.582515e+05,1.711274e+05,1.430510e+05,2.196726e+04,6.109146e+03,1.795314e-04,2.028099e-04,1.561298e-04,1.355733e-02,1.738565e-02,1.394631e-01,8.659989e-01,1.000000e+00
8.980000e-01,1.574444e-01,5.548261e-01,5.745203e-01,4.614915e-01,1.574444e-01,7.009017e-02,2.982198e-02,7.009017e-02,2.982198e-02,1.605944e-02,2.440744e+05,8.062280e+05,7.136197e+05,8.800019e+05,1.043879e+06,8.691903e+05,1.837767e+05,1.557588e+05,2.221854e+04,5.799277e+03,1.876023e-04,2.089398e-04,1.589304e-04,1.303142e-02,1.702307e-02,1.371752e-01,8.896186e-01,1.000000e+00
8.980000e-01,1.636667e-01,5.584337e-01,5.745037e-01,4.571132e-01,1.636667e-01,7.226970e-02,3.075054e-02,7.226970e-02,3.075054e-02,1.669411e-02,2.440744e+05,8.362112e+05,7.380174e+05,9.099851e+05,1.068276e+06,8.797143e+05,1.969788e+05,1.690825e+05,2.244983e+04,5.446568e+03,1.957117e-04,2.150269e-04,1.616145e-04,1.254682e-02,1.668272e-02,1.350713e-01,9.129950e-01,1.000000e+00
8.980000e-01,1.698889e-01,5.618910e-01,5.745111e-01,4.528194e-01,1.698889e-01,7.442986e-02,3.166912e-02,7.442986e-02,3.166912e-02,1.732879e-02,2.440744e+05,8.663255e+05,7.622119e+05,9.400994e+05,1.092471e+06,8.898781e+05,2.107464e+05,1.830337e+05,2.265881e+04,5.053844e+03,2.038574e-04,2.210672e-04,1.642009e-04,1.209890e-02,1.636248e-02,1.331191e-01,9.361475e-01,1.000000e+00
8.980000e-01,1.761111e-01,5.652074e-01,5.745226e-01,4.486309e-01,1.761111e-01,7.657183e-02,3.257963e-02,7.657183e-02,3.257963e-02,1.796346e-02,2.440744e+05,8.965629e+05,7.861879e+05,9.703368e+05,1.116447e+06,8.997391e+05,2.250916e+05,1.976244e+05,2.284283e+04,4.624319e+03,2.120374e-04,2.270566e-04,1.667093e-04,1.168367e-02,1.606043e-02,1.312892e-01,9.590931e-01,1.000000e+00
9.070000e-01,1.450000e-01,5.499269e-01,5.800797e-01,5.079219e-01,1.450000e-01,6.526061e-02,2.740429e-02,6.526061e-02,2.740429e-02,1.348511e-02,2.440744e+05,7.498951e+05,6.683514e+05,8.236690e+05,9.986102e+05,8.901370e+05,1.610100e+05,1.317655e+05,2.164719e+04,7.597346e+03,1.723642e-04,1.975121e-04,1.645785e-04,1.410985e-02,1.795979e-02,1.432297e-01,8.440717e-01,1.000000e+00
9.070000e-01,1.512222e-01,5.538421e-01,5.800133e-01,5.036822e-01,1.512222e-01,6.746900e-02,2.833612e-02,6.746900e-02,2.833612e-02,1.406378e-02,2.440744e+05,7.796924e+05,6.933080e+05,8.534663e+05,1.023567e+06,9.027252e+05,1.732520e+05,1.439170e+05,2.191747e+04,7.417588e+03,1.804213e-04,2.037292e-04,1.678503e-04,1.353911e-02,1.756787e-02,1.405630e-01,8.679536e-01,1.000000e+00
9.070000e-01,1.574444e-01,5.575838e-01,5.800169e-01,4.994804e-01,1.574444e-01,6.965599e-02,2.925438e-02,6.965599e-02,2.925438e-02,1.464245e-02,2.440744e+05,8.096338e+05,7.180945e+05,8.834077e+05,1.048353e+06,9.148397e+05,1.860377e+05,1.566727e+05,2.217041e+04,7.194574e+03,1.885185e-04,2.099086e-04,1.709853e-04,1.301494e-02,1.720093e-02,1.381249e-01,8.915693e-01,1.000000e+00
9.070000e-01,1.636667e-01,5.611655e-01,5.800671e-01,4.953349e-01,1.636667e-01,7.182260e-02,3.016071e-02,7.182260e-02,3.016071e-02,1.522113e-02,2.440744e+05,8.397130e+05,7.426977e+05,9.134869e+05,1.072957e+06,9.265319e+05,1.993795e+05,1.700447e+05,2.240409e+04,6.930712e+03,1.966540e-04,2.160467e-04,1.740011e-04,1.253191e-02,1.685655e-02,1.358787e-01,9.149413e-01,1.000000e+00
9.070000e-01,1.698889e-01,5.645985e-01,5.801429e-01,4.912640e-01,1.698889e-01,7.396990e-02,3.105684e-02,7.396990e-02,3.105684e-02,1.579980e-02,2.440744e+05,8.699228e+05,7.671039e+05,9.436967e+05,1.097363e+06,9.378544e+05,2.132900e+05,1.840450e+05,2.261630e+04,6.628712e+03,2.048256e-04,2.221396e-04,1.769160e-04,1.208538e-02,1.653255e-02,1.337923e-01,9.380895e-01,1.000000e+00
9.070000e-01,1.761111e-01,5.678921e-01,5.802245e-01,4.872867e-01,1.761111e-01,7.609903e-02,3.194456e-02,7.609903e-02,3.194456e-02,1.637847e-02,2.440744e+05,9.002556e+05,7.912983e+05,9.740295e+05,1.121557e+06,9.488624e+05,2.277815e+05,1.986853e+05,2.280453e+04,6.291645e+03,2.130315e-04,2.281833e-04,1.797489e-04,1.167142e-02,1.622700e-02,1.318367e-01,9.610307e-01,1.000000e+00
9.160000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
