# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.000000e-01,1.666667e-01,5.917513e-01,5.917513e-01,4.000000e-01,1.666667e-01,6.804147e-02,2.777789e-02,2.440744e+05,8.921148e+05,7.308501e+05,9.658887e+05,1.061109e+06,8.038824e+05,2.070870e+05,1.873835e+05,1.564610e+04,4.057371e+03,2.107760e-04,2.109365e-04,1.307372e-04,1.219418e-02,1.902126e-02,1.785967e-01
9.000000e-01,1.690972e-01,5.917513e-01,5.917513e-01,4.000000e-01,1.690972e-01,6.903375e-02,2.818299e-02,2.440744e+05,9.026815e+05,7.417426e+05,9.764554e+05,1.072001e+06,8.092091e+05,2.123890e+05,1.926312e+05,1.595491e+04,3.802816e+03,2.136370e-04,2.137474e-04,1.323312e-04,1.203083e-02,1.876663e-02,1.762795e-01
9.000000e-01,1.715278e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000e-01,1.739583e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.000000e-01,1.763889e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.075000e-01,1.666667e-01,5.973938e-01,5.973938e-01,4.293342e-01,1.666667e-01,6.710106e-02,2.701535e-02,2.440744e+05,8.995337e+05,7.312003e+05,9.733076e+05,1.061459e+06,8.376819e+05,2.100689e+05,1.895060e+05,1.480970e+04,5.753271e+03,2.127725e-04,2.105970e-04,1.383697e-04,1.217814e-02,1.952250e-02,1.818172e-01
9.075000e-01,1.690972e-01,5.976692e-01,5.976692e-01,4.285526e-01,1.690972e-01,6.803304e-02,2.737184e-02,2.440744e+05,9.105689e+05,7.420615e+05,9.843428e+05,1.072320e+06,8.422178e+05,2.154396e+05,1.949054e+05,1.505125e+04,5.482923e+03,2.157597e-04,2.133781e-04,1.396311e-04,1.201437e-02,1.928583e-02,1.800873e-01
9.075000e-01,1.715278e-01,5.979489e-01,5.979489e-01,4.277573e-01,1.715278e-01,6.896296e-02,2.772669e-02,2.440744e+05,9.216192e+05,7.529169e+05,9.953931e+05,1.083176e+06,8.466977e+05,2.208915e+05,2.003966e+05,1.529440e+04,5.200464e+03,2.187511e-04,2.161575e-04,1.408747e-04,1.185516e-02,1.905618e-02,1.784167e-01
9.075000e-01,1.739583e-01,5.992017e-01,5.992017e-01,4.241742e-01,1.739583e-01,6.972222e-02,2.794460e-02,2.440744e+05,9.340125e+05,7.637945e+05,1.007786e+06,1.094053e+06,8.474053e+05,2.264271e+05,2.063704e+05,1.538380e+04,4.672941e+03,2.221041e-04,2.188669e-04,1.406394e-04,1.169799e-02,1.891897e-02,1.790253e-01
9.075000e-01,1.763889e-01,6.047245e-01,6.047245e-01,4.079708e-01,1.763889e-01,6.972222e-02,2.755954e-02,2.440744e+05,9.523834e+05,7.747003e+05,1.026157e+06,1.104959e+06,8.314979e+05,2.321149e+05,2.142136e+05,1.477061e+04,3.130633e+03,2.270664e-04,2.212424e-04,1.338689e-04,1.153628e-02,1.917230e-02,1.901969e-01
